password,label
password0,0
password1,0
password2,0
password3,0
password4,0
password5,0
password6,0
password7,0
password8,0
password9,0
password10,0
password11,0
password12,0
password13,0
password14,0
password15,0
password16,0
password17,0
password18,0
password19,0
password20,0
password21,0
password22,0
password23,0
password24,0
password25,0
password26,0
password27,0
password28,0
password29,0
password30,0
password31,0
password32,0
password33,0
password34,0
password35,0
password36,0
password37,0
password38,0
password39,0
password40,0
password41,0
password42,0
password43,0
password44,0
password45,0
password46,0
password47,0
password48,0
password49,0
password50,0
password51,0
password52,0
password53,0
password54,0
password55,0
password56,0
password57,0
password58,0
password59,0
password60,0
password61,0
password62,0
password63,0
password64,0
password65,0
password66,0
password67,0
password68,0
password69,0
password70,0
password71,0
password72,0
password73,0
password74,0
password75,0
password76,0
password77,0
password78,0
password79,0
password80,0
password81,0
password82,0
password83,0
password84,0
password85,0
password86,0
password87,0
password88,0
password89,0
password90,0
password91,0
password92,0
password93,0
password94,0
password95,0
password96,0
password97,0
password98,0
password99,0
password100,0
password101,0
password102,0
password103,0
password104,0
password105,0
password106,0
password107,0
password108,0
password109,0
password110,0
password111,0
password112,0
password113,0
password114,0
password115,0
password116,0
password117,0
password118,0
password119,0
password120,0
password121,0
password122,0
password123,0
password124,0
password125,0
password126,0
password127,0
password128,0
password129,0
password130,0
password131,0
password132,0
password133,0
password134,0
password135,0
password136,0
password137,0
password138,0
password139,0
password140,0
password141,0
password142,0
password143,0
password144,0
password145,0
password146,0
password147,0
password148,0
password149,0
password150,0
password151,0
password152,0
password153,0
password154,0
password155,0
password156,0
password157,0
password158,0
password159,0
password160,0
password161,0
password162,0
password163,0
password164,0
password165,0
password166,0
password167,0
password168,0
password169,0
password170,0
password171,0
password172,0
password173,0
password174,0
password175,0
password176,0
password177,0
password178,0
password179,0
password180,0
password181,0
password182,0
password183,0
password184,0
password185,0
password186,0
password187,0
password188,0
password189,0
password190,0
password191,0
password192,0
password193,0
password194,0
password195,0
password196,0
password197,0
password198,0
password199,0
password200,0
password201,0
password202,0
password203,0
password204,0
password205,0
password206,0
password207,0
password208,0
password209,0
password210,0
password211,0
password212,0
password213,0
password214,0
password215,0
password216,0
password217,0
password218,0
password219,0
password220,0
password221,0
password222,0
password223,0
password224,0
password225,0
password226,0
password227,0
password228,0
password229,0
password230,0
password231,0
password232,0
password233,0
password234,0
password235,0
password236,0
password237,0
password238,0
password239,0
password240,0
password241,0
password242,0
password243,0
password244,0
password245,0
password246,0
password247,0
password248,0
password249,0
password250,0
password251,0
password252,0
password253,0
password254,0
password255,0
password256,0
password257,0
password258,0
password259,0
password260,0
password261,0
password262,0
password263,0
password264,0
password265,0
password266,0
password267,0
password268,0
password269,0
password270,0
password271,0
password272,0
password273,0
password274,0
password275,0
password276,0
password277,0
password278,0
password279,0
password280,0
password281,0
password282,0
password283,0
password284,0
password285,0
password286,0
password287,0
password288,0
password289,0
password290,0
